city,locality,property_type,bedrooms,area_sqft,price_per_sqft,price_lakhs,floor,age_years,facing,parking,furnishing,availability,maintenance_monthly,timestamp
Bangalore,Whitefield,Apartment,2 BHK,1050,14706,154,4 out of 21,15,North East,Yes,Semi-Furnished,Ready to Move,5420,2025-10-02 17:38:25
Mumbai,Juhu,Apartment,4 BHK,1920,9450,181,11 out of 22,17,South West,Yes,Unfurnished,Under Construction,5690,2025-10-02 17:38:25
Bangalore,HSR Layout,Builder Floor,2 BHK,881,15332,135,1 out of 24,2,South West,Yes,Fully Furnished,Under Construction,6762,2025-10-02 17:38:25
Mumbai,Worli,Apartment,1 BHK,517,14347,74,5 out of 24,7,North West,Yes,Fully Furnished,Under Construction,4407,2025-10-02 17:38:25
Delhi,Vasant Kunj,Apartment,3 BHK,1497,11862,177,2 out of 21,12,North,No,Semi-Furnished,Under Construction,4431,2025-10-02 17:38:25
Delhi,Vasant Kunj,Apartment,1 BHK,521,12040,62,9 out of 21,8,North,Yes,Semi-Furnished,Under Construction,4734,2025-10-02 17:38:25
Delhi,Dwarka,Builder Floor,2 BHK,889,9944,88,16 out of 24,9,East,Yes,Unfurnished,Ready to Move,5710,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,2 BHK,797,9855,78,8 out of 22,18,North,Yes,Fully Furnished,Under Construction,7049,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,2 BHK,1003,11878,119,10 out of 23,2,North East,Yes,Fully Furnished,Under Construction,5178,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,4 BHK,1938,11762,227,2 out of 20,6,East,Yes,Fully Furnished,Ready to Move,6355,2025-10-02 17:38:25
Delhi,South Extension,Builder Floor,3 BHK,1481,14755,218,6 out of 24,19,North,Yes,Semi-Furnished,Under Construction,5344,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,3 BHK,1419,11151,158,17 out of 21,16,West,No,Fully Furnished,Under Construction,6621,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,2 BHK,1037,14384,149,12 out of 23,2,West,No,Unfurnished,Under Construction,3147,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,2 BHK,892,11650,103,10 out of 20,4,East,Yes,Fully Furnished,Ready to Move,5735,2025-10-02 17:38:25
Delhi,Vasant Kunj,Villa,1 BHK,311,12585,39,2 out of 24,1,North West,No,Semi-Furnished,Under Construction,5218,2025-10-02 17:38:25
Mumbai,Andheri,Apartment,2 BHK,932,13196,122,13 out of 21,8,West,Yes,Semi-Furnished,Under Construction,4001,2025-10-02 17:38:25
Delhi,Rohini,Apartment,3 BHK,1448,13041,188,5 out of 20,13,South West,Yes,Fully Furnished,Ready to Move,5915,2025-10-02 17:38:25
Bangalore,JP Nagar,Apartment,3 BHK,1471,12807,188,4 out of 20,16,North East,Yes,Unfurnished,Ready to Move,5831,2025-10-02 17:38:25
Mumbai,Andheri,Apartment,4 BHK,1916,14564,279,19 out of 20,15,South West,Yes,Fully Furnished,Ready to Move,4511,2025-10-02 17:38:25
Mumbai,Worli,Villa,3 BHK,1535,11738,180,15 out of 23,8,South West,Yes,Unfurnished,Ready to Move,4228,2025-10-02 17:38:25
Mumbai,Juhu,Apartment,3 BHK,1455,8252,120,15 out of 22,2,South,No,Semi-Furnished,Under Construction,7483,2025-10-02 17:38:25
Mumbai,Powai,Apartment,2 BHK,1019,9606,97,9 out of 23,3,East,Yes,Semi-Furnished,Under Construction,5150,2025-10-02 17:38:25
Delhi,Dwarka,Builder Floor,3 BHK,1558,15828,246,17 out of 22,19,East,Yes,Unfurnished,Ready to Move,4118,2025-10-02 17:38:25
Mumbai,Andheri,Apartment,4 BHK,2097,14525,304,17 out of 20,3,North,Yes,Semi-Furnished,Ready to Move,2928,2025-10-02 17:38:25
Delhi,Rohini,Apartment,2 BHK,928,14686,136,19 out of 20,2,East,Yes,Unfurnished,Under Construction,5453,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,3 BHK,1545,14683,226,7 out of 20,6,North East,Yes,Semi-Furnished,Ready to Move,6162,2025-10-02 17:38:25
Mumbai,Juhu,Apartment,2 BHK,886,13724,121,14 out of 23,9,South West,No,Unfurnished,Under Construction,4251,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,3 BHK,1563,12632,197,7 out of 22,15,South,Yes,Fully Furnished,Ready to Move,3943,2025-10-02 17:38:25
Mumbai,Worli,Apartment,4 BHK,2017,10650,214,12 out of 20,14,East,Yes,Unfurnished,Ready to Move,5546,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,3 BHK,1458,10336,150,12 out of 21,19,North West,Yes,Fully Furnished,Ready to Move,4516,2025-10-02 17:38:25
Mumbai,Juhu,Apartment,2 BHK,971,9575,92,3 out of 22,14,North West,Yes,Fully Furnished,Under Construction,4866,2025-10-02 17:38:25
Bangalore,JP Nagar,Apartment,4 BHK,1813,13280,240,9 out of 24,12,South,Yes,Fully Furnished,Ready to Move,5767,2025-10-02 17:38:25
Bangalore,Indiranagar,Builder Floor,3 BHK,1624,10170,165,15 out of 20,2,South,Yes,Unfurnished,Under Construction,3625,2025-10-02 17:38:25
Delhi,Rohini,Apartment,3 BHK,1376,12937,178,4 out of 24,15,East,Yes,Semi-Furnished,Ready to Move,5609,2025-10-02 17:38:25
Delhi,Pitampura,Apartment,3 BHK,1452,7707,111,7 out of 21,2,North,Yes,Semi-Furnished,Under Construction,5379,2025-10-02 17:38:25
Delhi,Dwarka,Builder Floor,4 BHK,2002,11071,221,2 out of 21,13,North West,No,Semi-Furnished,Ready to Move,4651,2025-10-02 17:38:25
Delhi,Pitampura,Builder Floor,2 BHK,1037,12736,132,1 out of 22,0,North West,Yes,Fully Furnished,Under Construction,4159,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,3 BHK,1629,11607,189,16 out of 22,16,East,Yes,Unfurnished,Under Construction,5161,2025-10-02 17:38:25
Mumbai,Worli,Apartment,3 BHK,1544,10046,155,12 out of 24,19,South West,Yes,Unfurnished,Ready to Move,5439,2025-10-02 17:38:25
Bangalore,Whitefield,Apartment,2 BHK,1116,14166,158,7 out of 20,1,North,Yes,Unfurnished,Ready to Move,5022,2025-10-02 17:38:25
Bangalore,Indiranagar,Apartment,3 BHK,1548,14201,219,7 out of 22,10,North,Yes,Semi-Furnished,Under Construction,4031,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,3 BHK,1571,9740,153,5 out of 20,0,East,Yes,Fully Furnished,Ready to Move,5956,2025-10-02 17:38:25
Bangalore,Whitefield,Apartment,2 BHK,1069,10900,116,11 out of 20,14,South East,Yes,Semi-Furnished,Ready to Move,3937,2025-10-02 17:38:25
Mumbai,Juhu,Builder Floor,2 BHK,1078,12078,130,17 out of 23,13,North East,Yes,Fully Furnished,Ready to Move,4125,2025-10-02 17:38:25
Delhi,Vasant Kunj,Apartment,3 BHK,1440,12604,181,3 out of 24,14,North East,Yes,Unfurnished,Under Construction,5169,2025-10-02 17:38:25
Bangalore,Indiranagar,Apartment,4 BHK,2180,8739,190,3 out of 21,10,West,No,Semi-Furnished,Under Construction,4709,2025-10-02 17:38:25
Delhi,Vasant Kunj,Apartment,3 BHK,1506,9219,138,19 out of 21,11,North East,No,Unfurnished,Under Construction,4471,2025-10-02 17:38:25
Bangalore,Whitefield,Apartment,4 BHK,1844,11483,211,17 out of 22,4,South East,Yes,Unfurnished,Ready to Move,5626,2025-10-02 17:38:25
Mumbai,Powai,Apartment,3 BHK,1660,13546,224,6 out of 22,16,South East,Yes,Fully Furnished,Ready to Move,6514,2025-10-02 17:38:25
Mumbai,Juhu,Builder Floor,4 BHK,2067,12209,252,9 out of 20,14,West,Yes,Fully Furnished,Under Construction,3242,2025-10-02 17:38:25
Delhi,Dwarka,Apartment,3 BHK,1488,13333,198,10 out of 22,4,North West,Yes,Fully Furnished,Ready to Move,6386,2025-10-02 17:38:25
Delhi,Dwarka,Apartment,2 BHK,992,15260,151,19 out of 20,14,South,No,Unfurnished,Under Construction,6318,2025-10-02 17:38:25
Bangalore,JP Nagar,Apartment,3 BHK,1601,8311,133,19 out of 20,12,East,Yes,Semi-Furnished,Under Construction,5956,2025-10-02 17:38:25
Delhi,Rohini,Apartment,4 BHK,1974,12684,250,6 out of 21,6,South,Yes,Semi-Furnished,Ready to Move,3902,2025-10-02 17:38:25
Bangalore,Koramangala,Builder Floor,2 BHK,961,11991,115,10 out of 23,10,North East,Yes,Unfurnished,Ready to Move,4079,2025-10-02 17:38:25
Mumbai,Worli,Villa,3 BHK,1503,11983,180,4 out of 23,8,North West,Yes,Unfurnished,Under Construction,5687,2025-10-02 17:38:25
Bangalore,Indiranagar,Villa,2 BHK,1054,10270,108,7 out of 20,18,South West,Yes,Unfurnished,Ready to Move,4806,2025-10-02 17:38:25
Bangalore,Whitefield,Builder Floor,2 BHK,812,10364,84,12 out of 20,15,West,Yes,Unfurnished,Under Construction,4865,2025-10-02 17:38:25
Mumbai,Powai,Apartment,2 BHK,929,11791,109,5 out of 21,17,North East,No,Fully Furnished,Under Construction,5497,2025-10-02 17:38:25
Mumbai,Powai,Apartment,3 BHK,1539,11616,178,15 out of 24,8,North,Yes,Unfurnished,Ready to Move,4911,2025-10-02 17:38:25
Mumbai,Juhu,Apartment,3 BHK,1484,13389,198,9 out of 23,5,South East,Yes,Unfurnished,Under Construction,2900,2025-10-02 17:38:25
Delhi,Vasant Kunj,Apartment,3 BHK,1479,13450,198,15 out of 22,4,South East,Yes,Unfurnished,Under Construction,5930,2025-10-02 17:38:25
Delhi,Dwarka,Apartment,4 BHK,2049,13397,274,12 out of 20,9,South East,Yes,Fully Furnished,Under Construction,4115,2025-10-02 17:38:25
Bangalore,Whitefield,Builder Floor,3 BHK,1534,17590,269,1 out of 24,11,South West,No,Fully Furnished,Ready to Move,4748,2025-10-02 17:38:25
Delhi,Rohini,Apartment,1 BHK,457,14589,66,3 out of 20,17,South West,Yes,Fully Furnished,Under Construction,5643,2025-10-02 17:38:25
Bangalore,HSR Layout,Builder Floor,2 BHK,804,9927,79,13 out of 24,2,North East,Yes,Fully Furnished,Under Construction,6586,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,3 BHK,1462,9815,143,16 out of 21,19,North East,Yes,Fully Furnished,Ready to Move,4766,2025-10-02 17:38:25
Bangalore,Whitefield,Apartment,3 BHK,1430,10019,143,12 out of 21,10,West,Yes,Semi-Furnished,Under Construction,4105,2025-10-02 17:38:25
Delhi,Pitampura,Villa,3 BHK,1564,16157,252,11 out of 24,17,East,Yes,Unfurnished,Under Construction,5729,2025-10-02 17:38:25
Delhi,Dwarka,Villa,3 BHK,1573,14378,226,6 out of 21,9,South West,Yes,Unfurnished,Ready to Move,4429,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,2 BHK,895,9585,85,16 out of 23,13,North East,No,Semi-Furnished,Ready to Move,5144,2025-10-02 17:38:25
Mumbai,Worli,Apartment,2 BHK,902,10647,96,4 out of 21,19,West,Yes,Unfurnished,Under Construction,5697,2025-10-02 17:38:25
Bangalore,HSR Layout,Villa,2 BHK,845,11333,95,12 out of 23,1,North West,Yes,Semi-Furnished,Ready to Move,5276,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,2 BHK,1023,15952,163,13 out of 21,9,North West,Yes,Fully Furnished,Ready to Move,6499,2025-10-02 17:38:25
Mumbai,Andheri,Builder Floor,3 BHK,1454,11783,171,2 out of 23,1,North East,Yes,Fully Furnished,Under Construction,6125,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,3 BHK,1590,8936,142,5 out of 24,16,South,Yes,Unfurnished,Under Construction,4759,2025-10-02 17:38:25
Bangalore,Whitefield,Builder Floor,2 BHK,964,13738,132,11 out of 24,1,South West,Yes,Semi-Furnished,Ready to Move,6041,2025-10-02 17:38:25
Delhi,Rohini,Apartment,3 BHK,1654,16073,265,19 out of 22,15,North East,No,Semi-Furnished,Under Construction,7742,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,3 BHK,1425,15584,222,4 out of 24,7,South,No,Semi-Furnished,Ready to Move,4735,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,5 BHK,2680,14606,391,13 out of 21,17,South East,Yes,Unfurnished,Under Construction,6205,2025-10-02 17:38:25
Delhi,Pitampura,Apartment,3 BHK,1610,15879,255,9 out of 20,19,South,No,Semi-Furnished,Under Construction,6577,2025-10-02 17:38:25
Delhi,Rohini,Apartment,5 BHK,2329,12154,283,2 out of 23,6,South West,Yes,Unfurnished,Under Construction,6424,2025-10-02 17:38:25
Mumbai,Andheri,Apartment,3 BHK,1520,10538,160,13 out of 24,13,North,Yes,Fully Furnished,Ready to Move,5936,2025-10-02 17:38:25
Mumbai,Juhu,Apartment,2 BHK,962,12028,115,14 out of 20,11,East,Yes,Unfurnished,Under Construction,4874,2025-10-02 17:38:25
Delhi,Rohini,Apartment,1 BHK,519,16038,83,18 out of 20,4,South,Yes,Unfurnished,Ready to Move,4225,2025-10-02 17:38:25
Delhi,Rohini,Apartment,3 BHK,1354,10139,137,3 out of 20,0,North,Yes,Semi-Furnished,Ready to Move,4024,2025-10-02 17:38:25
Delhi,Dwarka,Builder Floor,2 BHK,995,12094,120,1 out of 22,18,East,No,Fully Furnished,Ready to Move,5382,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,3 BHK,1516,14773,223,4 out of 23,0,South,Yes,Unfurnished,Ready to Move,4977,2025-10-02 17:38:25
Delhi,Dwarka,Apartment,5 BHK,2424,7046,170,16 out of 24,12,West,No,Fully Furnished,Ready to Move,4902,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,3 BHK,1531,12389,189,10 out of 21,16,North,Yes,Fully Furnished,Under Construction,4448,2025-10-02 17:38:25
Bangalore,Indiranagar,Apartment,3 BHK,1439,12666,182,2 out of 21,4,East,Yes,Semi-Furnished,Under Construction,5874,2025-10-02 17:38:25
Mumbai,Worli,Builder Floor,2 BHK,940,13187,123,10 out of 24,2,North West,Yes,Fully Furnished,Ready to Move,5786,2025-10-02 17:38:25
Delhi,Dwarka,Builder Floor,3 BHK,1463,13398,196,2 out of 21,11,North,Yes,Unfurnished,Ready to Move,5527,2025-10-02 17:38:25
Delhi,Pitampura,Apartment,4 BHK,1953,15007,293,2 out of 22,0,South East,Yes,Unfurnished,Ready to Move,4770,2025-10-02 17:38:25
Bangalore,Indiranagar,Apartment,3 BHK,1388,11657,161,18 out of 21,11,East,No,Semi-Furnished,Ready to Move,5449,2025-10-02 17:38:25
Mumbai,Juhu,Apartment,2 BHK,914,11933,109,9 out of 21,14,South East,Yes,Fully Furnished,Ready to Move,5583,2025-10-02 17:38:25
Delhi,Vasant Kunj,Apartment,1 BHK,567,11124,63,3 out of 24,7,West,No,Unfurnished,Ready to Move,3892,2025-10-02 17:38:25
Bangalore,Whitefield,Apartment,3 BHK,1285,8579,110,11 out of 23,6,South East,Yes,Fully Furnished,Under Construction,4424,2025-10-02 17:38:25
Delhi,Dwarka,Builder Floor,3 BHK,1371,12499,171,1 out of 20,19,South West,No,Semi-Furnished,Ready to Move,6165,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,2 BHK,852,11780,100,17 out of 21,16,South West,Yes,Fully Furnished,Under Construction,4310,2025-10-02 17:38:25
Mumbai,Worli,Apartment,5 BHK,2574,12504,321,11 out of 23,2,East,Yes,Semi-Furnished,Ready to Move,5049,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,3 BHK,1488,13218,196,14 out of 20,12,South East,Yes,Unfurnished,Ready to Move,4669,2025-10-02 17:38:25
Mumbai,Worli,Apartment,5 BHK,2527,13097,330,3 out of 21,19,North West,Yes,Semi-Furnished,Ready to Move,1546,2025-10-02 17:38:25
Bangalore,Whitefield,Villa,3 BHK,1545,13831,213,10 out of 23,18,East,No,Fully Furnished,Ready to Move,4271,2025-10-02 17:38:25
Bangalore,Koramangala,Builder Floor,3 BHK,1277,13822,176,17 out of 20,13,South West,Yes,Unfurnished,Ready to Move,5939,2025-10-02 17:38:25
Bangalore,Indiranagar,Apartment,2 BHK,916,7507,68,19 out of 24,5,West,Yes,Unfurnished,Ready to Move,5469,2025-10-02 17:38:25
Delhi,South Extension,Apartment,2 BHK,1096,10325,113,6 out of 23,2,North West,Yes,Unfurnished,Ready to Move,6766,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,1 BHK,513,11773,60,1 out of 20,3,North East,Yes,Fully Furnished,Under Construction,5124,2025-10-02 17:38:25
Mumbai,Powai,Builder Floor,3 BHK,1560,12731,198,6 out of 21,1,South West,Yes,Fully Furnished,Ready to Move,5500,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,2 BHK,914,13839,126,2 out of 20,6,South East,Yes,Semi-Furnished,Under Construction,4769,2025-10-02 17:38:25
Delhi,Pitampura,Villa,3 BHK,1310,10180,133,9 out of 24,18,West,No,Unfurnished,Under Construction,5167,2025-10-02 17:38:25
Delhi,Dwarka,Apartment,3 BHK,1459,13257,193,1 out of 21,8,North West,No,Fully Furnished,Under Construction,7750,2025-10-02 17:38:25
Bangalore,Koramangala,Builder Floor,2 BHK,918,14209,130,6 out of 20,6,East,No,Unfurnished,Under Construction,3788,2025-10-02 17:38:25
Bangalore,JP Nagar,Apartment,3 BHK,1317,12130,159,6 out of 22,3,East,Yes,Semi-Furnished,Ready to Move,4929,2025-10-02 17:38:25
Mumbai,Juhu,Villa,1 BHK,587,11144,65,19 out of 24,7,West,No,Unfurnished,Under Construction,6114,2025-10-02 17:38:25
Delhi,Vasant Kunj,Villa,3 BHK,1642,13438,220,2 out of 22,2,South,Yes,Unfurnished,Ready to Move,3747,2025-10-02 17:38:25
Delhi,Rohini,Villa,1 BHK,289,9482,27,1 out of 22,12,North West,Yes,Fully Furnished,Ready to Move,5334,2025-10-02 17:38:25
Mumbai,Worli,Apartment,1 BHK,566,14058,79,16 out of 22,16,East,Yes,Semi-Furnished,Under Construction,4772,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,3 BHK,1506,9603,144,9 out of 23,4,South East,No,Unfurnished,Under Construction,4992,2025-10-02 17:38:25
Delhi,Vasant Kunj,Apartment,2 BHK,929,11733,108,6 out of 24,10,West,Yes,Semi-Furnished,Under Construction,4038,2025-10-02 17:38:25
Mumbai,Juhu,Apartment,2 BHK,934,11366,106,17 out of 23,3,North West,Yes,Semi-Furnished,Ready to Move,4513,2025-10-02 17:38:25
Bangalore,Whitefield,Apartment,3 BHK,1480,10894,161,1 out of 22,0,East,Yes,Fully Furnished,Ready to Move,4911,2025-10-02 17:38:25
Bangalore,Whitefield,Builder Floor,3 BHK,1551,11829,183,11 out of 22,17,West,No,Semi-Furnished,Under Construction,6735,2025-10-02 17:38:25
Delhi,Rohini,Builder Floor,3 BHK,1500,13705,205,18 out of 21,1,North,No,Unfurnished,Under Construction,4440,2025-10-02 17:38:25
Mumbai,Powai,Builder Floor,2 BHK,890,14717,130,18 out of 24,18,North,Yes,Unfurnished,Under Construction,5248,2025-10-02 17:38:25
Mumbai,Juhu,Villa,3 BHK,1507,9899,149,18 out of 23,5,South West,Yes,Semi-Furnished,Ready to Move,5417,2025-10-02 17:38:25
Mumbai,Juhu,Builder Floor,2 BHK,944,10451,98,18 out of 24,7,North East,Yes,Fully Furnished,Ready to Move,3866,2025-10-02 17:38:25
Mumbai,Bandra,Villa,2 BHK,824,11164,91,6 out of 21,7,North West,Yes,Unfurnished,Under Construction,4293,2025-10-02 17:38:25
Mumbai,Worli,Apartment,3 BHK,1638,11180,183,14 out of 22,14,South West,No,Unfurnished,Ready to Move,4664,2025-10-02 17:38:25
Mumbai,Powai,Builder Floor,3 BHK,1578,10561,166,11 out of 21,15,West,Yes,Unfurnished,Ready to Move,4932,2025-10-02 17:38:25
Delhi,Rohini,Apartment,3 BHK,1723,11224,193,3 out of 22,2,North West,Yes,Unfurnished,Ready to Move,3862,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,2 BHK,937,14463,135,18 out of 23,3,East,No,Fully Furnished,Under Construction,4497,2025-10-02 17:38:25
Delhi,Vasant Kunj,Apartment,2 BHK,986,9465,93,13 out of 24,9,South West,Yes,Semi-Furnished,Ready to Move,4122,2025-10-02 17:38:25
Mumbai,Juhu,Apartment,4 BHK,2166,11563,250,12 out of 24,11,North East,Yes,Fully Furnished,Ready to Move,5171,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,3 BHK,1538,8631,132,15 out of 20,7,South West,Yes,Fully Furnished,Under Construction,4526,2025-10-02 17:38:25
Mumbai,Andheri,Apartment,4 BHK,2075,10104,209,3 out of 22,15,North,Yes,Unfurnished,Ready to Move,4305,2025-10-02 17:38:25
Delhi,Rohini,Builder Floor,3 BHK,1655,11775,194,11 out of 21,2,North West,Yes,Unfurnished,Ready to Move,6299,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,2 BHK,1031,10897,112,13 out of 23,15,North West,Yes,Unfurnished,Ready to Move,5224,2025-10-02 17:38:25
Delhi,South Extension,Builder Floor,1 BHK,491,16846,82,19 out of 23,15,South East,Yes,Fully Furnished,Ready to Move,4339,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,5 BHK,2733,11662,318,11 out of 21,19,East,Yes,Unfurnished,Ready to Move,2696,2025-10-02 17:38:25
Bangalore,Whitefield,Apartment,3 BHK,1656,12048,199,11 out of 22,5,South,Yes,Fully Furnished,Under Construction,6107,2025-10-02 17:38:25
Bangalore,Indiranagar,Apartment,3 BHK,1404,13359,187,17 out of 23,12,West,Yes,Semi-Furnished,Under Construction,4665,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,2 BHK,1008,12265,123,8 out of 22,10,East,Yes,Semi-Furnished,Ready to Move,5723,2025-10-02 17:38:25
Mumbai,Powai,Apartment,5 BHK,2352,11752,276,18 out of 20,11,West,Yes,Fully Furnished,Ready to Move,6105,2025-10-02 17:38:25
Mumbai,Worli,Apartment,3 BHK,1512,16039,242,14 out of 23,10,North East,Yes,Semi-Furnished,Under Construction,3921,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,2 BHK,967,12536,121,12 out of 24,3,North West,Yes,Fully Furnished,Under Construction,4440,2025-10-02 17:38:25
Delhi,Pitampura,Apartment,2 BHK,1106,13994,154,12 out of 22,0,South,Yes,Unfurnished,Under Construction,7010,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,2 BHK,976,10999,107,17 out of 20,15,West,Yes,Fully Furnished,Under Construction,6080,2025-10-02 17:38:25
Delhi,Vasant Kunj,Apartment,4 BHK,2047,13454,275,11 out of 22,5,South West,Yes,Semi-Furnished,Under Construction,5133,2025-10-02 17:38:25
Delhi,South Extension,Apartment,3 BHK,1514,15236,230,7 out of 21,2,North West,No,Fully Furnished,Under Construction,6137,2025-10-02 17:38:25
Mumbai,Andheri,Apartment,3 BHK,1606,11238,180,13 out of 22,19,West,Yes,Semi-Furnished,Under Construction,3822,2025-10-02 17:38:25
Bangalore,Koramangala,Builder Floor,2 BHK,1054,6363,67,4 out of 24,13,South East,Yes,Fully Furnished,Ready to Move,5037,2025-10-02 17:38:25
Mumbai,Juhu,Apartment,4 BHK,1998,15807,315,9 out of 21,8,North East,Yes,Unfurnished,Ready to Move,4890,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,5 BHK,2571,7976,205,14 out of 23,0,North,Yes,Unfurnished,Ready to Move,5913,2025-10-02 17:38:25
Mumbai,Worli,Apartment,3 BHK,1586,9925,157,9 out of 20,17,West,Yes,Semi-Furnished,Ready to Move,2371,2025-10-02 17:38:25
Mumbai,Worli,Apartment,1 BHK,499,12987,64,8 out of 23,4,North West,Yes,Fully Furnished,Ready to Move,4105,2025-10-02 17:38:25
Mumbai,Worli,Apartment,4 BHK,2072,12790,265,6 out of 20,2,North East,Yes,Semi-Furnished,Ready to Move,5722,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,2 BHK,899,13740,123,3 out of 20,6,North East,No,Unfurnished,Under Construction,5578,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,2 BHK,1320,15332,202,19 out of 21,3,North,Yes,Unfurnished,Under Construction,5992,2025-10-02 17:38:25
Mumbai,Worli,Builder Floor,1 BHK,420,9744,40,18 out of 22,2,East,Yes,Semi-Furnished,Under Construction,5495,2025-10-02 17:38:25
Mumbai,Powai,Builder Floor,1 BHK,432,10100,43,14 out of 24,15,North,Yes,Unfurnished,Under Construction,6084,2025-10-02 17:38:25
Delhi,Pitampura,Builder Floor,3 BHK,1524,11021,167,4 out of 23,2,South East,Yes,Unfurnished,Ready to Move,6011,2025-10-02 17:38:25
Delhi,Pitampura,Apartment,3 BHK,1393,11723,163,8 out of 23,0,North,Yes,Fully Furnished,Ready to Move,5512,2025-10-02 17:38:25
Bangalore,Indiranagar,Builder Floor,3 BHK,1309,9923,129,16 out of 20,8,North West,Yes,Unfurnished,Under Construction,4219,2025-10-02 17:38:25
Bangalore,Koramangala,Builder Floor,4 BHK,2103,13554,285,14 out of 24,11,North West,Yes,Fully Furnished,Under Construction,4599,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,3 BHK,1451,9221,133,4 out of 23,0,South,Yes,Semi-Furnished,Ready to Move,6224,2025-10-02 17:38:25
Delhi,South Extension,Apartment,3 BHK,1456,14579,212,8 out of 24,3,South,Yes,Semi-Furnished,Ready to Move,3574,2025-10-02 17:38:25
Mumbai,Worli,Apartment,2 BHK,1028,15655,160,13 out of 20,6,West,Yes,Semi-Furnished,Under Construction,4526,2025-10-02 17:38:25
Mumbai,Andheri,Builder Floor,1 BHK,418,12356,51,7 out of 22,16,North West,No,Fully Furnished,Ready to Move,4934,2025-10-02 17:38:25
Bangalore,Koramangala,Apartment,4 BHK,1978,12652,250,9 out of 22,11,West,Yes,Unfurnished,Ready to Move,5660,2025-10-02 17:38:25
Mumbai,Andheri,Apartment,2 BHK,926,14645,135,10 out of 24,1,South West,Yes,Fully Furnished,Under Construction,4604,2025-10-02 17:38:25
Mumbai,Bandra,Apartment,3 BHK,1526,16978,259,12 out of 23,3,North West,Yes,Semi-Furnished,Ready to Move,5709,2025-10-02 17:38:25
Mumbai,Powai,Apartment,1 BHK,336,16659,55,6 out of 23,14,South,Yes,Fully Furnished,Under Construction,4960,2025-10-02 17:38:25
Mumbai,Powai,Apartment,3 BHK,1666,7111,118,1 out of 20,12,North West,No,Unfurnished,Under Construction,4401,2025-10-02 17:38:25
Bangalore,Indiranagar,Apartment,2 BHK,999,12634,126,6 out of 23,2,South West,No,Fully Furnished,Under Construction,3728,2025-10-02 17:38:25
Bangalore,HSR Layout,Apartment,4 BHK,1970,10267,202,14 out of 22,12,South West,Yes,Unfurnished,Under Construction,5669,2025-10-02 17:38:25
Bangalore,JP Nagar,Apartment,4 BHK,2122,12701,269,8 out of 21,12,South,No,Unfurnished,Under Construction,6191,2025-10-02 17:38:25
Bangalore,Whitefield,Apartment,2 BHK,919,13353,122,18 out of 23,5,East,Yes,Unfurnished,Ready to Move,3011,2025-10-02 17:38:25
Delhi,Dwarka,Apartment,1 BHK,344,10337,35,3 out of 21,10,North West,Yes,Unfurnished,Under Construction,6610,2025-10-02 17:38:25
Mumbai,Worli,Villa,2 BHK,992,9586,95,1 out of 24,5,North,No,Unfurnished,Under Construction,5109,2025-10-02 17:38:25
Delhi,Dwarka,Apartment,3 BHK,1530,15857,242,4 out of 21,19,South,Yes,Unfurnished,Under Construction,5619,2025-10-02 17:38:25
Mumbai,Powai,Apartment,3 BHK,1402,13706,192,2 out of 21,18,South West,Yes,Fully Furnished,Under Construction,4718,2025-10-02 17:38:25
Delhi,South Extension,Apartment,3 BHK,1560,8132,126,19 out of 22,11,North East,Yes,Fully Furnished,Under Construction,4746,2025-10-02 17:38:25
